000,0,0,1,0,0,1,0
001,0,0,2,0,0,2,0
002,0,0,1,0,0,1,0
007,0,0,1,0,0,1,0
0079,0,1,0,0,1,0,0
0080,0,4,0,0,3,0,0
0083,0,2,0,0,2,0,0
0312,0,0,1,0,0,1,0
1000,31,16,143,30,15,120,0
1001,1,1,7,1,1,7,0
1003,0,0,1,0,0,1,0
100d,0,0,1,0,0,1,0
100e,0,0,2,0,0,2,0
1012,0,0,1,0,0,1,0
1030,0,0,1,0,0,1,0
1040,0,2,0,0,2,0,0
1050,1,0,0,1,0,0,0
1066,0,0,1,0,0,1,0
1084,0,0,1,0,0,1,0
1091,0,0,1,0,0,1,0
1100,1,3,3,1,3,3,0
1138,0,2,2,0,2,2,0
1146,1,0,0,1,0,0,0
1150,0,0,1,0,0,1,0
1150-2007,0,0,1,0,0,1,0
1165,0,0,1,0,0,1,0
1172,0,0,1,0,0,1,0
1188,0,0,1,0,0,1,0
1188-1192,0,0,1,0,0,1,0
119,0,0,6,0,0,4,0
1193,0,0,1,0,0,1,0
1200,2,2,6,2,2,6,0
1201,1,0,0,1,0,0,0
1202,1,0,0,1,0,0,0
1209,0,0,1,0,0,1,0
1250,0,0,1,0,0,1,0
1277,0,0,1,0,0,1,0
1300,2,1,3,2,1,3,0
1303,0,0,9,0,0,4,0
1318,1,0,0,1,0,0,0
1337,0,0,1,0,0,1,0
1349,0,0,1,0,0,1,0
1357,0,0,1,0,0,1,0
1386,0,0,1,0,0,1,0
1400,0,0,4,0,0,4,0
1408,5,0,7,3,0,7,0
1415,0,1,0,0,1,0,0
1423-1483,0,0,1,0,0,1,0
1431,0,0,1,0,0,1,0
1431-1463,0,0,1,0,0,1,0
1454,1,0,0,1,0,0,0
1456,0,0,2,0,0,2,0
1461,0,0,1,0,0,1,0
1463,0,0,2,0,0,2,0
1464,0,0,1,0,0,1,0
1467,0,0,1,0,0,1,0
1473,1,0,0,1,0,0,0
1485,0,0,1,0,0,1,0
1492,1,0,6,1,0,5,0
1499,0,0,1,0,0,1,0
1500,2,2,14,2,2,11,0
1503,0,0,1,0,0,1,0
1509,0,0,1,0,0,1,0
1510,0,0,1,0,0,1,0
1511,0,0,3,0,0,2,0
1517,0,0,1,0,0,1,0
1518,0,0,2,0,0,2,0
1519,0,0,1,0,0,1,0
1520,0,0,1,0,0,1,0
1525,0,0,2,0,0,1,0
1528,0,0,2,0,0,2,0
1534,0,0,1,0,0,1,0
